 "location" , "year" , "movement" ,
 "Netherlands" , "1890" , "Post-Impressionism" ,
 "Netherlands" , "1906" , "Post-Impressionism" ,
 "Netherlands" , "1884" , "Post-Impressionism" ,
 "Netherlands" , "1888" , "Post-Impressionism" ,
 "Netherlands" , "1890" , "Post-Impressionism" ,
 "Netherlands" , "1906" , "Post-Impressionism" ,
 "United_States" , "1952" , "Surrealism" ,
 "United_States" , "1952" , "Surrealism" ,
 "United_States" , "1952" , "Surrealism" ,
 "United_Kingdom" , "1831" , "Romanticism" ,
 "United_Kingdom" , "1831" , "Romanticism" ,
 "England" , "1831" , "Romanticism" ,
 "England" , "1831" , "Romanticism" ,
 "United_States" , "1845" , "Luminism_(American_art_style)" ,
 "Barcelona" , "1939" , "Dada" ,
 "Barcelona" , "1939" , "Surrealism" ,
 "Spain" , "1939" , "Dada" ,
 "Spain" , "1939" , "Surrealism" ,
 "Spain" , "1939" , "Dada" ,
 "Spain" , "1939" , "Surrealism" ,
 "Catalonia" , "1939" , "Dada" ,
 "Catalonia" , "1939" , "Surrealism" ,
 "Barcelon%C3%A8s" , "1939" , "Dada" ,
 "Barcelon%C3%A8s" , "1939" , "Surrealism" ,
 "Province_of_Barcelona" , "1939" , "Dada" ,
 "Province_of_Barcelona" , "1939" , "Surrealism" ,
 "United_States" , "1930" , "Regionalism_(art)" ,
 "United_States" , "1930" , "Regionalism_(art)" ,
 "United_States" , "1930" , "Regionalism_(art)" ,
 "Netherlands" , "1888" , "Post-Impressionism" ,
 "Netherlands" , "1888" , "Post-Impressionism" ,
 "Netherlands" , "1888" , "Post-Impressionism" ,
 "Netherlands" , "1888" , "Post-Impressionism" ,
 "United_States" , "1859" , "Hudson_River_School" ,
 "England" , "1871" , "Pre-Raphaelite_Brotherhood" ,
 "Australia" , "1947" , "Angry_Penguins" ,
 "Philadelphia" , "1901" , "Realism_(arts)" ,
 "United_States" , "1901" , "Realism_(arts)" ,
 "Pennsylvania" , "1901" , "Realism_(arts)" ,
 "Province_of_Pennsylvania" , "1901" , "Realism_(arts)" ,
 "Philadelphia_County,_Pennsylvania" , "1901" , "Realism_(arts)" ,
 "Netherlands" , "1888" , "Post-Impressionism" ,
 "Netherlands" , "1888" , "Post-Impressionism" ,
 "Netherlands" , "1888" , "Post-Impressionism" ,
 "Netherlands" , "1888" , "Post-Impressionism" ,
 "United_States" , "1871" , "Realism_(arts)" ,
 "Philadelphia" , "1890" , "Realism_(arts)" ,
 "United_States" , "1890" , "Realism_(arts)" ,
 "Pennsylvania" , "1890" , "Realism_(arts)" ,
 "Province_of_Pennsylvania" , "1890" , "Realism_(arts)" ,
 "Philadelphia_County,_Pennsylvania" , "1890" , "Realism_(arts)" ,
 "Netherlands" , "1888" , "Post-Impressionism" ,
 "Netherlands" , "1888" , "Post-Impressionism" ,
 "Netherlands" , "1888" , "Post-Impressionism" ,
 "Netherlands" , "1888" , "Post-Impressionism" ,
 "France" , "1657" , "Baroque" ,
 "France" , "1657" , "Classicism" ,
 "France" , "1657" , "Baroque" ,
 "France" , "1657" , "Classicism" ,
 "Bologna" , "1611" , "Baroque" ,
 "Italy" , "1611" , "Baroque" ,
 "Russia" , "1889" , "Realism_(arts)" ,
 "Russia" , "1889" , "Realism_(arts)" ,
 "France" , "1883" , "Impressionism" ,
 "France" , "1883" , "Impressionism" ,
 "Netherlands" , "1890" , "Post-Impressionism" ,
 "Netherlands" , "1890" , "Post-Impressionism" ,
 "Netherlands" , "1890" , "Post-Impressionism" ,
 "Netherlands" , "1890" , "Post-Impressionism" ,
 "Italy" , "1280" , "Gothic_art" ,
 "Italy" , "1280" , "Sienese_School" ,
 "Italy" , "1280" , "Gothic_art" ,
 "Italy" , "1280" , "Sienese_School" ,
